image,cve_id,package,n_scanners,scanners
python-3.9-slim-bookworm,CVE-2024-37371,libkrb5-3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-37370,libkrb5-3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-26462,libkrb5-3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-24528,libkrb5-3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-3576,libkrb5-3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-40355,libkrb5-3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-40356,libkrb5-3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2018-5709,libkrb5-3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-26458,libkrb5-3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-26461,libkrb5-3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-37371,libkrb5support0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-37370,libkrb5support0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-26462,libkrb5support0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-24528,libkrb5support0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-3576,libkrb5support0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-40355,libkrb5support0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-40356,libkrb5support0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2018-5709,libkrb5support0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-26458,libkrb5support0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-26461,libkrb5support0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-31115,liblzma5,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-34743,liblzma5,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-28085,libmount1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-27456,libmount1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-3184,libmount1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2022-0563,libmount1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-14104,libmount1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-69720,libncursesw6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-50495,libncursesw6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-6141,libncursesw6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-6020,libpam-modules,2,"grype,trivy"
